Distance in m,Latitude in °,Longitude in °,Altitude in °,X in m,Y in m,Z in m,v_max_day in km/h,v_max_night in km/h,Station,Switch,Urban
,49.81087653,8.646092215,165.8719349,4077196.234,619973.3302,4849367.704,60,FALSE,FALSE,FALSE,TRUE
,49.81087548,8.646092021,165.8733718,4077196.325,619973.3299,4849367.63,60,FALSE,FALSE,FALSE,TRUE
,49.81087443,8.646091833,165.8751459,4077196.416,619973.3301,4849367.556,60,FALSE,FALSE,FALSE,TRUE
,49.81087339,8.646091643,165.8768521,4077196.507,619973.3301,4849367.482,60,FALSE,FALSE,FALSE,TRUE
,49.81087234,8.646091451,165.8784543,4077196.599,619973.33,4849367.408,60,FALSE,FALSE,FALSE,TRUE
,49.81087129,8.64609126,165.8800109,4077196.69,619973.33,4849367.334,60,FALSE,FALSE,FALSE,TRUE
,49.81087024,8.646091069,165.8814977,4077196.781,619973.3299,4849367.26,60,FALSE,FALSE,FALSE,TRUE
,49.81086919,8.646090878,165.883222,4077196.873,619973.3299,4849367.186,60,FALSE,FALSE,FALSE,TRUE
,49.81086813,8.646090686,165.8848847,4077196.964,619973.3299,4849367.112,60,FALSE,FALSE,FALSE,TRUE
,49.81086708,8.646090495,165.8865356,4077197.055,619973.3299,4849367.037,60,FALSE,FALSE,FALSE,TRUE
,49.81086603,8.646090303,165.8881948,4077197.147,619973.3298,4849366.963,60,FALSE,FALSE,FALSE,TRUE
,49.81086498,8.64609011,165.8896866,4077197.239,619973.3297,4849366.889,60,FALSE,FALSE,FALSE,TRUE
,49.81086392,8.646089921,165.8913765,4077197.33,619973.3299,4849366.814,60,FALSE,FALSE,FALSE,TRUE
,49.81086287,8.64608973,165.8929847,4077197.422,619973.3299,4849366.74,60,FALSE,FALSE,FALSE,TRUE
,49.81086181,8.646089538,165.8944903,4077197.514,619973.3299,4849366.665,60,FALSE,FALSE,FALSE,TRUE
,49.81086075,8.646089347,165.8961408,4077197.606,619973.33,4849366.59,60,FALSE,FALSE,FALSE,TRUE
,49.8108597,8.646089153,165.8975963,4077197.698,619973.3298,4849366.516,60,FALSE,FALSE,FALSE,TRUE
,49.81085864,8.646088966,165.8992005,4077197.789,619973.3301,4849366.441,60,FALSE,FALSE,FALSE,TRUE
,49.81085758,8.646088775,165.900806,4077197.881,619973.3302,4849366.366,60,FALSE,FALSE,FALSE,TRUE
,49.81085652,8.646088584,165.9023076,4077197.973,619973.3303,4849366.291,60,FALSE,FALSE,FALSE,TRUE
,49.81085546,8.646088392,165.9038569,4077198.066,619973.3304,4849366.216,60,FALSE,FALSE,FALSE,TRUE
,49.8108544,8.6460882,165.9054705,4077198.158,619973.3304,4849366.141,60,FALSE,FALSE,FALSE,TRUE
,49.81085334,8.646088012,165.9068484,4077198.25,619973.3307,4849366.066,60,FALSE,FALSE,FALSE,TRUE
,49.81085228,8.64608782,165.9083921,4077198.342,619973.3308,4849365.991,60,FALSE,FALSE,FALSE,TRUE
,49.81085121,8.646087629,165.9098451,4077198.435,619973.3309,4849365.916,60,FALSE,FALSE,FALSE,TRUE
,49.81085015,8.646087438,165.9112878,4077198.527,619973.3311,4849365.841,60,FALSE,FALSE,FALSE,TRUE
,49.81084908,8.646087248,165.9125339,4077198.619,619973.3313,4849365.765,60,FALSE,FALSE,FALSE,TRUE
,49.81084802,8.646087058,165.9141926,4077198.712,619973.3315,4849365.69,60,FALSE,FALSE,FALSE,TRUE
,49.81084695,8.646086868,165.9155367,4077198.804,619973.3317,4849365.615,60,FALSE,FALSE,FALSE,TRUE
,49.81084588,8.646086677,165.9169918,4077198.897,619973.3319,4849365.539,60,FALSE,FALSE,FALSE,TRUE
,49.81084482,8.646086487,165.9183878,4077198.99,619973.3322,4849365.464,60,FALSE,FALSE,FALSE,TRUE
,49.81084375,8.6460863,165.9200728,4077199.082,619973.3326,4849365.388,60,FALSE,FALSE,FALSE,TRUE
,49.81084268,8.646086108,165.9211444,4077199.175,619973.3328,4849365.312,60,FALSE,FALSE,FALSE,TRUE
,49.81084161,8.646085919,165.9224882,4077199.268,619973.3331,4849365.236,60,FALSE,FALSE,FALSE,TRUE
,49.81084054,8.646085729,165.9237203,4077199.361,619973.3334,4849365.161,60,FALSE,FALSE,FALSE,TRUE
,49.81083947,8.64608554,165.9250064,4077199.453,619973.3337,4849365.085,60,FALSE,FALSE,FALSE,TRUE
,49.8108384,8.646085355,165.9264418,4077199.546,619973.3344,4849365.009,60,FALSE,FALSE,FALSE,TRUE
,49.81083732,8.646085162,165.9273604,4077199.639,619973.3345,4849364.932,60,FALSE,FALSE,FALSE,TRUE
,49.81083625,8.646084973,165.9287409,4077199.732,619973.3349,4849364.856,60,FALSE,FALSE,FALSE,TRUE
,49.81083517,8.646084783,165.9299218,4077199.825,619973.3352,4849364.78,60,FALSE,FALSE,FALSE,TRUE
,49.8108341,8.646084594,165.9312008,4077199.919,619973.3356,4849364.704,60,FALSE,FALSE,FALSE,TRUE
,49.81083302,8.64608441,165.9320958,4077200.011,619973.3363,4849364.628,60,FALSE,FALSE,FALSE,TRUE
,49.81083195,8.646084216,165.9335116,4077200.105,619973.3364,4849364.551,60,FALSE,FALSE,FALSE,TRUE
,49.81083087,8.646084026,165.9347437,4077200.198,619973.3368,4849364.475,60,FALSE,FALSE,FALSE,TRUE
,49.81082979,8.646083836,165.9359741,4077200.292,619973.3372,4849364.398,60,FALSE,FALSE,FALSE,TRUE
,49.81082871,8.646083645,165.9372145,4077200.385,619973.3375,4849364.322,60,FALSE,FALSE,FALSE,TRUE
,49.81082763,8.646083458,165.9382215,4077200.478,619973.338,4849364.245,60,FALSE,FALSE,FALSE,TRUE
,49.81082655,8.646083267,165.9395875,4077200.572,619973.3384,4849364.169,60,FALSE,FALSE,FALSE,TRUE
,49.81082547,8.646083077,165.9406767,4077200.666,619973.3388,4849364.092,60,FALSE,FALSE,FALSE,TRUE
,49.81082439,8.646082887,165.9420099,4077200.76,619973.3392,4849364.015,60,FALSE,FALSE,FALSE,TRUE
,49.81082331,8.646082697,165.9430974,4077200.853,619973.3396,4849363.939,60,FALSE,FALSE,FALSE,TRUE
,49.81082223,8.646082505,165.9447958,4077200.947,619973.3399,4849363.862,60,FALSE,FALSE,FALSE,TRUE
,49.81082114,8.646082318,165.9454398,4077201.041,619973.3405,4849363.785,60,FALSE,FALSE,FALSE,TRUE
,49.81082006,8.646082127,165.9465178,4077201.135,619973.3409,4849363.708,60,FALSE,FALSE,FALSE,TRUE
,49.81081897,8.646081937,165.9478953,4077201.229,619973.3414,4849363.631,60,FALSE,FALSE,FALSE,TRUE
,49.81081789,8.646081746,165.9489704,4077201.323,619973.3418,4849363.554,60,FALSE,FALSE,FALSE,TRUE
,49.8108168,8.646081556,165.9500348,4077201.416,619973.3421,4849363.477,60,FALSE,FALSE,FALSE,TRUE
,49.81081571,8.646081366,165.9511837,4077201.511,619973.3427,4849363.399,60,FALSE,FALSE,FALSE,TRUE
,49.81081462,8.646081175,165.9524071,4077201.605,619973.3432,4849363.322,60,FALSE,FALSE,FALSE,TRUE
,49.81081353,8.646080982,165.9532306,4077201.699,619973.3434,4849363.245,60,FALSE,FALSE,FALSE,TRUE
,49.81081244,8.64608079,165.9546083,4077201.794,619973.3438,4849363.168,60,FALSE,FALSE,FALSE,TRUE
,49.81081135,8.6460806,165.9546862,4077201.888,619973.3442,4849363.089,60,FALSE,FALSE,FALSE,TRUE
,49.81081026,8.646080404,165.9567066,4077201.983,619973.3444,4849363.013,60,FALSE,FALSE,FALSE,TRUE
,49.81080917,8.646080213,165.9575447,4077202.077,619973.3448,4849362.935,60,FALSE,FALSE,FALSE,TRUE
,49.81080808,8.64608002,165.9592818,4077202.172,619973.3452,4849362.858,60,FALSE,FALSE,FALSE,TRUE
,49.81080699,8.646079825,165.9601192,4077202.266,619973.3453,4849362.78,60,FALSE,FALSE,FALSE,TRUE
,49.81080589,8.646079632,165.9616817,4077202.361,619973.3457,4849362.703,60,FALSE,FALSE,FALSE,TRUE
,49.8108048,8.646079437,165.9623957,4077202.456,619973.3459,4849362.625,60,FALSE,FALSE,FALSE,TRUE
,49.8108037,8.646079242,165.9636893,4077202.551,619973.3462,4849362.547,60,FALSE,FALSE,FALSE,TRUE
,49.81080261,8.646079048,165.9647272,4077202.645,619973.3465,4849362.469,60,FALSE,FALSE,FALSE,TRUE
,49.81080151,8.646078851,165.9658651,4077202.74,619973.3465,4849362.391,60,FALSE,FALSE,FALSE,TRUE
,49.81080042,8.646078659,165.9672828,4077202.835,619973.347,4849362.314,60,FALSE,FALSE,FALSE,TRUE
,49.81079932,8.646078462,165.9685308,4077202.931,619973.3472,4849362.236,60,FALSE,FALSE,FALSE,TRUE
,49.81079822,8.646078263,165.9695662,4077203.026,619973.3472,4849362.158,60,FALSE,FALSE,FALSE,TRUE
,49.81079712,8.646078067,165.9708554,4077203.121,619973.3474,4849362.08,60,FALSE,FALSE,FALSE,TRUE
,49.81079602,8.646077868,165.9721895,4077203.216,619973.3474,4849362.002,60,FALSE,FALSE,FALSE,TRUE
,49.81079491,8.646077667,165.9721879,4077203.311,619973.3472,4849361.923,60,FALSE,FALSE,FALSE,TRUE
